date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:35	148/148	---M-Z	200	added ('OK')	text/plain	date:Wed,%2025%20Sep%202024%2010:46:35%20GMT	https://bitcoin360.ai/robots.txt		(from )
13:46:36	72383/72383	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202024%2010:46:36%20GMT	https://bitcoin360.ai/	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/index.html	(from )
13:46:36	85358/85358	---M-Z	200	added ('OK')	text/css	etag:%2214d6e-5f63763d39c80-gzip%22	https://bitcoin360.ai/wp-content/plugins/page-builder-sandwich/page_builder_sandwich/css/style.min.css?ver=5.1.0	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/wp-content/plugins/page-builder-sandwich/page_builder_sandwich/css/style.min0e7d.css	(from https://bitcoin360.ai/)
13:46:36	764/764	---M-Z	200	added ('OK')	text/css	etag:%222fc-61e4b1972aa58-gzip%22	https://bitcoin360.ai/wp-content/cache/autoptimize/css/autoptimize_single_40e411521a20965fbf4b76c3a09214ab.css?ver=2.0.0	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/wp-content/cache/autoptimize/css/autoptimize_single_40e411521a20965fbf4b76c3a09214ab001e.css	(from https://bitcoin360.ai/)
13:46:36	54859/54859	---M-Z	200	added ('OK')	application/javascript	etag:%22d64b-5f63763d39c80-gzip%22	https://bitcoin360.ai/wp-content/plugins/page-builder-sandwich/page_builder_sandwich/js/min/frontend-min.js?ver=5.1.0	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/wp-content/plugins/page-builder-sandwich/page_builder_sandwich/js/min/frontend-min0e7d.js	(from https://bitcoin360.ai/)
13:46:36	87553/87553	---M-Z	200	added ('OK')	application/javascript	etag:%2215601-610f589e852c0-gzip%22	https://bitcoin360.ai/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/wp-includes/js/jquery/jquery.minf43b.js	(from https://bitcoin360.ai/)
13:46:37	13577/13577	---M-Z	200	added ('OK')	application/javascript	etag:%223509-610f589e852c0-gzip%22	https://bitcoin360.ai/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://bitcoin360.ai/)
13:46:37	1736/1736	---M-Z	200	added ('OK')	application/javascript	etag:%226c8-61e4b196d9977-gzip%22	https://bitcoin360.ai/wp-content/cache/autoptimize/js/autoptimize_single_3ee872e48dcaf769bdd8f58e58c4e7bc.js?ver=2.0.0	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/wp-content/cache/autoptimize/js/autoptimize_single_3ee872e48dcaf769bdd8f58e58c4e7bc001e.js	(from https://bitcoin360.ai/)
13:46:37	64101/64101	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202024%2010:46:38%20GMT	https://bitcoin360.ai/nl/	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/nl/index.html	(from https://bitcoin360.ai/)
13:46:38	792/792	---M-Z	200	added ('OK')	text/xml	date:Wed,%2025%20Sep%202024%2010:46:39%20GMT	https://bitcoin360.ai/xmlrpc.php?rsd	C:/Users/Admin/Desktop/New%20folder/./bitcoin360.ai/xmlrpc0db0.php	(from https://bitcoin360.ai/)
